dataset,sim_cutoff,n_in_domain,coverage_pct,AUROC,ACC,MCC,Sensitivity,Specificity
TDC test (benchmark),0.0,96,100.0,0.919,0.865,0.731,0.84,0.891
TDC test (benchmark),0.2,88,91.7,0.948,0.875,0.756,0.83,0.927
TDC test (benchmark),0.3,43,44.8,0.991,0.93,0.865,0.842,1.0
TDC test (benchmark),0.35,33,34.4,0.996,0.939,0.877,0.846,1.0
DILIrank external,0.0,625,100.0,0.632,0.597,0.192,0.594,0.601
DILIrank external,0.2,564,90.2,0.627,0.596,0.19,0.591,0.603
DILIrank external,0.3,300,48.0,0.682,0.613,0.259,0.549,0.716
DILIrank external,0.35,228,36.5,0.721,0.636,0.326,0.549,0.786
DILIrank external,0.4,172,27.5,0.738,0.663,0.366,0.595,0.787
DILIrank external,0.45,137,21.9,0.76,0.701,0.436,0.632,0.82
DILIrank external,0.5,109,17.4,0.732,0.688,0.411,0.618,0.805
DILIrank external,0.6,67,10.7,0.779,0.716,0.508,0.585,0.923
DILIst external,0.0,827,100.0,0.564,0.545,0.109,0.516,0.597
DILIst external,0.2,758,91.7,0.565,0.549,0.116,0.52,0.6
DILIst external,0.3,424,51.3,0.573,0.528,0.104,0.475,0.634
DILIst external,0.35,329,39.8,0.565,0.523,0.087,0.477,0.615
DILIst external,0.4,260,31.4,0.556,0.512,0.05,0.483,0.57
DILIst external,0.45,203,24.5,0.568,0.542,0.097,0.522,0.58
DILIst external,0.5,167,20.2,0.577,0.551,0.11,0.533,0.581
DILIst external,0.6,94,11.4,0.615,0.564,0.152,0.517,0.639
