stream,calib,target,threshold,AUROC,ACC,F1,MCC
6way-no-gnn6,none,MCC,0.586,0.7422609176340519,0.7314285714285714,0.7911111111111111,0.4194144406114916
6way-no-gnn6,none,ACC,0.47900000000000004,0.7422609176340519,0.72,0.8016194331983806,0.38438612535794514
6way-no-gnn6,none,F1,0.28700000000000003,0.7422609176340519,0.6571428571428571,0.7744360902255639,0.21798223663713423
5way-no-gnn5-tx-light,none,MCC,0.5750000000000001,0.7382531785516859,0.7314285714285714,0.7911111111111111,0.4194144406114916
5way-no-gnn5-tx-light,none,ACC,0.47400000000000003,0.7382531785516859,0.7085714285714285,0.7935222672064778,0.3553037336858135
5way-no-gnn5-tx-light,none,F1,0.47400000000000003,0.7382531785516859,0.7085714285714285,0.7935222672064778,0.3553037336858135
4way-mf-light,none,MCC,0.504,0.7353510226644555,0.7028571428571428,0.7903225806451613,0.34091704766498915
4way-mf-light,none,ACC,0.488,0.7353510226644555,0.7085714285714285,0.7951807228915663,0.35604110195923727
4way-mf-light,none,F1,0.488,0.7353510226644555,0.7085714285714285,0.7951807228915663,0.35604110195923727
3way-no-gnn,none,MCC,0.523,0.7019071310116085,0.72,0.7932489451476793,0.3842666335760246
3way-no-gnn,none,ACC,0.485,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
3way-no-gnn,none,F1,0.485,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
6way-no-gnn6,isotonic,MCC,0.501,0.7264372581536761,0.7314285714285714,0.7911111111111111,0.4194144406114916
6way-no-gnn6,isotonic,ACC,0.41000000000000003,0.7264372581536761,0.72,0.8016194331983806,0.38438612535794514
6way-no-gnn6,isotonic,F1,0.201,0.7264372581536761,0.6571428571428571,0.7744360902255639,0.21798223663713423
5way-no-gnn5-tx-light,isotonic,MCC,0.534,0.7432974018794914,0.7314285714285714,0.7911111111111111,0.4194144406114916
5way-no-gnn5-tx-light,isotonic,ACC,0.334,0.7432974018794914,0.7085714285714285,0.7935222672064778,0.3553037336858135
5way-no-gnn5-tx-light,isotonic,F1,0.334,0.7432974018794914,0.7085714285714285,0.7935222672064778,0.3553037336858135
4way-mf-light,isotonic,MCC,0.501,0.7426755113322276,0.7085714285714285,0.7951807228915663,0.35604110195923727
4way-mf-light,isotonic,ACC,0.334,0.7426755113322276,0.7085714285714285,0.7951807228915663,0.35604110195923727
4way-mf-light,isotonic,F1,0.334,0.7426755113322276,0.7085714285714285,0.7951807228915663,0.35604110195923727
3way-no-gnn,isotonic,MCC,0.501,0.6994886677722498,0.72,0.7932489451476793,0.3842666335760246
3way-no-gnn,isotonic,ACC,0.313,0.6994886677722498,0.7085714285714285,0.7901234567901234,0.35514590829455916
3way-no-gnn,isotonic,F1,0.313,0.6994886677722498,0.7085714285714285,0.7901234567901234,0.35514590829455916
6way-no-gnn6,platt,MCC,0.623,0.7422609176340519,0.7314285714285714,0.7911111111111111,0.4194144406114916
6way-no-gnn6,platt,ACC,0.562,0.7422609176340519,0.72,0.8016194331983806,0.38438612535794514
6way-no-gnn6,platt,F1,0.444,0.7422609176340519,0.6571428571428571,0.7744360902255639,0.21798223663713423
5way-no-gnn5-tx-light,platt,MCC,0.621,0.7382531785516859,0.7314285714285714,0.7911111111111111,0.4194144406114916
5way-no-gnn5-tx-light,platt,ACC,0.559,0.7382531785516859,0.7085714285714285,0.7935222672064778,0.3553037336858135
5way-no-gnn5-tx-light,platt,F1,0.559,0.7382531785516859,0.7085714285714285,0.7935222672064778,0.3553037336858135
4way-mf-light,platt,MCC,0.554,0.7353510226644555,0.7028571428571428,0.7903225806451613,0.34091704766498915
