feature,resample,model,threshold,AUROC,ACC,F1,MCC
FP,none,XGBoost,0.49,0.6770315091210615,0.6514285714285715,0.7404255319148936,0.2272047891906772
FP,none,RandomForest,0.44000000000000006,0.7234660033167497,0.6742857142857143,0.7782101167315175,0.26593381724092324
FP,none,LogReg,0.39,0.6614151464897733,0.64,0.7272727272727273,0.20814201122315512
FP,smote,XGBoost,0.59,0.6228579325594251,0.5942857142857143,0.6666666666666666,0.14877733996123424
FP,smote,RandomForest,0.48,0.7314814814814815,0.6571428571428571,0.765625,0.21683856850480882
FP,smote,LogReg,0.35,0.6561636263128799,0.6285714285714286,0.723404255319149,0.17450652794698135
FP,random,XGBoost,0.51,0.5602542841348811,0.5542857142857143,0.6176470588235294,0.08868842211724114
FP,random,RandomForest,0.48,0.7310668877833059,0.6914285714285714,0.7857142857142857,0.31195888796000476
FP,random,LogReg,0.53,0.652294085129906,0.6171428571428571,0.6995515695067265,0.17407294905516146
RDKit,none,XGBoost,0.33,0.705085682697623,0.6571428571428571,0.7674418604651163,0.21596710639534003
RDKit,none,RandomForest,0.49,0.7003869541182973,0.6914285714285714,0.7874015748031497,0.3129126940862804
RDKit,none,LogReg,0.14,0.6409618573797677,0.6457142857142857,0.7615384615384615,0.18072943552086557
RDKit,smote,XGBoost,0.42000000000000004,0.6405472636815921,0.6628571428571428,0.766798418972332,0.23438609594320287
RDKit,smote,RandomForest,0.48,0.693200663349917,0.6971428571428572,0.7871485943775101,0.32632856364599616
RDKit,smote,LogReg,0.25,0.6409618573797679,0.6342857142857142,0.746031746031746,0.15800286598312707
RDKit,random,XGBoost,0.51,0.6207849640685461,0.6114285714285714,0.6851851851851852,0.177722498618021
RDKit,random,RandomForest,0.53,0.7100608070757326,0.6628571428571428,0.7531380753138075,0.2480568626576621
RDKit,random,LogReg,0.24000000000000002,0.6419292426755113,0.6457142857142857,0.7559055118110236,0.18644682465187148
Mordred,none,XGBoost,0.51,0.6524322830292979,0.6228571428571429,0.7226890756302521,0.15523661408893225
Mordred,none,RandomForest,0.65,0.718629076838032,0.6285714285714286,0.6524064171122995,0.28928354428804837
Mordred,none,LogReg,0.23,0.6741293532338308,0.6171428571428571,0.70995670995671,0.1566944802004826
Mordred,smote,XGBoost,0.6,0.6632117191818684,0.6285714285714286,0.656084656084656,0.2831894019680764
Mordred,smote,RandomForest,0.58,0.7142067440574903,0.68,0.7358490566037735,0.33079670381222154
Mordred,smote,LogReg,0.5700000000000001,0.6702598120508568,0.6057142857142858,0.6790697674418604,0.1679995356458782
Mordred,random,XGBoost,0.6,0.697346600331675,0.6628571428571428,0.7203791469194313,0.29704671324185444
Mordred,random,RandomForest,0.65,0.6945826423438364,0.6171428571428571,0.6492146596858639,0.25372277310610597
Mordred,random,LogReg,0.65,0.6706744057490326,0.6285714285714286,0.6889952153110048,0.23007770296989596
FP+RDKit,none,XGBoost,0.33999999999999997,0.6753731343283582,0.6571428571428571,0.7727272727272727,0.2163611807139567
FP+RDKit,none,RandomForest,0.49,0.7041182974018795,0.6742857142857143,0.7764705882352941,0.26551033051027584
FP+RDKit,none,LogReg,0.1,0.6793808734107242,0.6628571428571428,0.7649402390438247,0.2356499774542647
FP+RDKit,smote,XGBoost,0.67,0.6513266998341625,0.56,0.5649717514124294,0.17842180778705427
FP+RDKit,smote,RandomForest,0.5,0.7113045881702598,0.6857142857142857,0.7773279352226721,0.2971389503415503
FP+RDKit,smote,LogReg,0.1,0.6741293532338308,0.6628571428571428,0.7686274509803922,0.2334438654728029
FP+RDKit,random,XGBoost,0.42000000000000004,0.7039800995024876,0.6571428571428571,0.7560975609756098,0.22555256508911947
FP+RDKit,random,RandomForest,0.53,0.7171088999447208,0.6628571428571428,0.7551867219917012,0.24552920537436143
FP+RDKit,random,LogReg,0.1,0.6709508015478164,0.6514285714285715,0.758893280632411,0.20319402994315686
FP+Mordred,none,XGBoost,0.5,0.7052238805970149,0.6742857142857143,0.7532467532467533,0.2853133077571639
FP+Mordred,none,RandomForest,0.69,0.7101990049751244,0.6171428571428571,0.6256983240223464,0.29167021196346415
FP+Mordred,none,LogReg,0.51,0.7016307352128247,0.6742857142857143,0.7553648068669528,0.2825298332721313
FP+Mordred,smote,XGBoost,0.51,0.7140685461580983,0.6628571428571428,0.7531380753138075,0.2480568626576621
FP+Mordred,smote,RandomForest,0.66,0.7191818684355997,0.5885714285714285,0.5813953488372093,0.25635674672716885
FP+Mordred,smote,LogReg,0.73,0.7037037037037037,0.6628571428571428,0.728110599078341,0.28454728983537114
FP+Mordred,random,XGBoost,0.69,0.7259535655058043,0.6342857142857142,0.6666666666666666,0.28612908453027214
FP+Mordred,random,RandomForest,0.62,0.6951354339414041,0.6628571428571428,0.714975845410628,0.30602032007567326
FP+Mordred,random,LogReg,0.78,0.6978993919292427,0.6628571428571428,0.7230046948356808,0.2927554108914609
FP+RDKit+Mord,none,XGBoost,0.55,0.6674958540630183,0.6571428571428571,0.7115384615384616,0.2918492281845069
FP+RDKit+Mord,none,RandomForest,0.59,0.7095080154781648,0.6742857142857143,0.7466666666666667,0.2945462420626467
FP+RDKit+Mord,none,LogReg,0.52,0.7057766721945826,0.6628571428571428,0.74235807860262,0.2627963375463835
FP+RDKit+Mord,smote,XGBoost,0.36,0.7157269209508015,0.6857142857142857,0.7843137254901961,0.29757679554774874
FP+RDKit+Mord,smote,RandomForest,0.61,0.7213930348258706,0.6742857142857143,0.7164179104477612,0.3440829634147448
FP+RDKit+Mord,smote,LogReg,0.55,0.7056384742951907,0.6685714285714286,0.7456140350877193,0.277107022208401
FP+RDKit+Mord,random,XGBoost,0.51,0.6766169154228855,0.6857142857142857,0.7659574468085106,0.30625218105622093
FP+RDKit+Mord,random,RandomForest,0.63,0.701077943615257,0.6571428571428571,0.7,0.3113014299933877
