model,fold,AUROC,ACC,F1,MCC,best_val_auc,n_test
GCN,0,0.6666666666666666,0.5632183908045977,0.4722222222222222,0.25576564549615616,0.7142857142857143,87
GCN,1,0.6738888888888889,0.6511627906976745,0.5945945945945946,0.2891895646258679,0.7026392961876833,86
GCN,2,0.5887096774193549,0.5287356321839081,0.5684210526315789,0.09152846133478959,0.810763888888889,87
GCN,3,0.6352272727272728,0.6436781609195402,0.7102803738317757,0.24919701211922834,0.661624649859944,87
GCN,4,0.6198863636363636,0.5747126436781609,0.672566371681416,0.06741998624632421,0.7409502262443439,87
GCN,5,0.6971590909090908,0.632183908045977,0.673469387755102,0.27728962274798696,0.7081447963800905,87
GCN,6,0.706221198156682,0.5977011494252874,0.5783132530120482,0.3434710325928735,0.7381221719457014,87
GCN,7,0.6676136363636362,0.6436781609195402,0.7256637168141593,0.21911495530055367,0.7355742296918768,87
GCN,8,0.7107954545454546,0.6781609195402298,0.7307692307692307,0.33751652268538823,0.7738095238095238,87
GCN,9,0.6026936026936027,0.6781609195402298,0.7741935483870968,0.2719367202713395,0.7608286252354048,87
GAT,0,0.6655773420479303,0.5977011494252874,0.5569620253164557,0.27905827758780427,0.7324875896304468,87
GAT,1,0.7011111111111111,0.6511627906976745,0.5,0.2602986291629021,0.7571847507331377,86
GAT,2,0.6002304147465438,0.5517241379310345,0.5894736842105263,0.13978892276586047,0.7418981481481481,87
GAT,3,0.615340909090909,0.6206896551724138,0.6857142857142857,0.21170014954400318,0.6610644257703081,87
GAT,4,0.6295454545454545,0.5632183908045977,0.62,0.12172106356755727,0.7352941176470589,87
GAT,5,0.6840909090909091,0.5862068965517241,0.5909090909090909,0.252404642914749,0.6968325791855204,87
GAT,6,0.7476958525345623,0.6666666666666666,0.7238095238095238,0.31258750699052007,0.7188914027149322,87
GAT,7,0.6454545454545455,0.632183908045977,0.7419354838709677,0.14000811664783128,0.726610644257703,87
GAT,8,0.7215909090909092,0.6091954022988506,0.6304347826086957,0.2704441700980983,0.75,87
GAT,9,0.6958473625140291,0.4942528735632184,0.4358974358974359,0.11148625942373863,0.7746390458254865,87
GraphSAGE,0,0.616557734204793,0.5862068965517241,0.6086956521739131,0.18540093176616151,0.7429674572531715,87
GraphSAGE,1,0.6316666666666667,0.5465116279069767,0.5063291139240507,0.09428090415820634,0.7325513196480938,86
GraphSAGE,2,0.5783410138248848,0.5632183908045977,0.6274509803921569,0.11495229077716491,0.8148148148148148,87
GraphSAGE,3,0.6431818181818182,0.6091954022988506,0.6458333333333334,0.24260239906799896,0.6554621848739496,87
GraphSAGE,4,0.6170454545454546,0.6091954022988506,0.6382978723404256,0.2561791007154109,0.7075791855203619,87
GraphSAGE,5,0.6914772727272728,0.7126436781609196,0.7787610619469026,0.37080992435478316,0.6725113122171946,87
GraphSAGE,6,0.7298387096774193,0.6436781609195402,0.693069306930693,0.2898368098501052,0.7104072398190046,87
GraphSAGE,7,0.6335227272727273,0.6781609195402298,0.7910447761194029,0.25221259093107484,0.7535014005602241,87
GraphSAGE,8,0.6801136363636363,0.6781609195402298,0.7543859649122807,0.2908843264828004,0.7952380952380952,87
GraphSAGE,9,0.65993265993266,0.632183908045977,0.7142857142857143,0.20100756305184242,0.7514124293785311,87
GIN,0,0.6514161220043573,0.6206896551724138,0.6024096385542169,0.30206969512516885,0.7562051847766134,87
GIN,1,0.7305555555555556,0.6744186046511628,0.65,0.3574870875948078,0.7853372434017595,86
GIN,2,0.6319124423963134,0.5977011494252874,0.6666666666666666,0.1674178640643177,0.7505787037037037,87
GIN,3,0.7806818181818183,0.735632183908046,0.7850467289719626,0.4436377300956666,0.6476190476190476,87
GIN,4,0.5642045454545455,0.5862068965517241,0.6785714285714286,0.09856931110091563,0.7494343891402715,87
GIN,5,0.652840909090909,0.632183908045977,0.6981132075471698,0.23030728136615086,0.708710407239819,87
GIN,6,0.7206221198156681,0.6091954022988506,0.6222222222222222,0.30078721914531925,0.7160633484162897,87
GIN,7,0.65,0.6436781609195402,0.7394957983193278,0.1913552921298153,0.7675070028011204,87
GIN,8,0.6335227272727273,0.6206896551724138,0.6732673267326733,0.2349181601834922,0.8011904761904762,87
GIN,9,0.6487093153759821,0.6551724137931034,0.7321428571428571,0.251259453814803,0.7124921531701193,87
MPNN,0,0.6116557734204793,0.6436781609195402,0.7155963302752294,0.24753688574416857,0.7280750137892995,87
MPNN,1,0.6272222222222222,0.5813953488372093,0.41935483870967744,0.10861075589598065,0.7548387096774194,86
MPNN,2,0.5748847926267282,0.5747126436781609,0.6336633663366337,0.14574651009605288,0.7627314814814815,87
MPNN,3,0.6460227272727272,0.4942528735632184,0.47619047619047616,0.08427498280790525,0.6728291316526611,87
MPNN,4,0.6346590909090909,0.6436781609195402,0.7207207207207207,0.22883834436313075,0.706447963800905,87
MPNN,5,0.5960227272727273,0.5747126436781609,0.6021505376344086,0.19113046947486795,0.6940045248868778,87
MPNN,6,0.756336405529954,0.7011494252873564,0.7450980392156863,0.4034383282083192,0.7420814479638009,87
MPNN,7,0.6034090909090909,0.6091954022988506,0.7017543859649122,0.1378181788779397,0.7551820728291316,87
MPNN,8,0.6528409090909091,0.6551724137931034,0.7115384615384616,0.289457705216274,0.7755952380952381,87
MPNN,9,0.6498316498316499,0.5632183908045977,0.6274509803921569,0.10512220373139247,0.7639673571876961,87
