Model,AUROC,ACC,F1,MCC,Sensitivity,Specificity
Descriptor+Morgan GBM (selected),0.880 ± 0.035,0.825 ± 0.047,0.823 ± 0.064,0.646 ± 0.095,0.860 ± 0.053,0.788 ± 0.046
AttentiveFP,0.871 ± 0.037,0.805 ± 0.047,0.785 ± 0.093,0.599 ± 0.092,0.794 ± 0.096,0.808 ± 0.071
GCN,0.861 ± 0.043,0.790 ± 0.037,0.784 ± 0.072,0.572 ± 0.069,0.822 ± 0.070,0.754 ± 0.094
GIN,0.859 ± 0.024,0.792 ± 0.052,0.797 ± 0.075,0.587 ± 0.072,0.879 ± 0.066,0.702 ± 0.101
GAT,0.859 ± 0.049,0.812 ± 0.047,0.785 ± 0.110,0.595 ± 0.107,0.792 ± 0.134,0.798 ± 0.048
GraphSAGE,0.842 ± 0.033,0.763 ± 0.027,0.741 ± 0.087,0.506 ± 0.045,0.746 ± 0.135,0.750 ± 0.120
MPNN,0.840 ± 0.044,0.795 ± 0.060,0.786 ± 0.094,0.573 ± 0.121,0.812 ± 0.062,0.765 ± 0.081
ChemBERTa,0.846 ± 0.035,0.759 ± 0.059,0.726 ± 0.140,0.489 ± 0.160,0.740 ± 0.212,0.726 ± 0.242
MoLFormer (frozen),0.757 ± 0.057,0.640 ± 0.054,0.547 ± 0.092,0.319 ± 0.092,0.468 ± 0.134,0.813 ± 0.168
Rank-averaging ensemble,0.869 ± 0.035,0.822 ± 0.034,0.800 ± 0.097,0.627 ± 0.090,0.807 ± 0.135,0.821 ± 0.081
