number,value,datetime_start,datetime_complete,duration,params_colsample,params_lr,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,0.844385853164923,2026-07-06 07:26:39.324153,2026-07-06 07:26:46.077328,0 days 00:00:06.753175,0.7875364678399936,0.040064836619643954,7,4.063110478838848,500,2.2650340400809217,0.7694619197355619,COMPLETE
1,0.8488417661867274,2026-07-06 07:26:46.077413,2026-07-06 07:26:53.584656,0 days 00:00:07.507243,0.7408267366563595,0.02417917724332947,8,7.479176468048627,800,4.490574888756025,0.8115579679011617,COMPLETE
2,0.8148993211783908,2026-07-06 07:26:53.584710,2026-07-06 07:26:56.725450,0 days 00:00:03.140740,0.9220072889480915,0.010476552591086518,3,7.850328395629348,200,5.029724509452985,0.9112627003799402,COMPLETE
3,0.8521406235165927,2026-07-06 07:26:56.725494,2026-07-06 07:27:02.589843,0 days 00:00:05.864349,0.4860119724454279,0.06032942364042929,5,7.612682419347087,700,0.6940433605375383,0.8559684085310095,COMPLETE
4,0.8555825254274867,2026-07-06 07:27:02.589892,2026-07-06 07:27:13.499786,0 days 00:00:10.909894,0.7410603693211891,0.018388894115254163,5,1.131528603054486,500,4.277994885582388,0.7824601328866194,COMPLETE
5,0.847027824314646,2026-07-06 07:27:13.499843,2026-07-06 07:27:20.922992,0 days 00:00:07.423149,0.6157047403442716,0.04139367608357545,6,4.059223676595391,600,6.844723740175419,0.8727281196413934,COMPLETE
6,0.8440935062640488,2026-07-06 07:27:20.923036,2026-07-06 07:27:26.658034,0 days 00:00:05.734998,0.477355778592912,0.04642658243447123,3,3.207998456469287,600,3.209951453316912,0.6841530244295364,COMPLETE
7,0.8490163920202679,2026-07-06 07:27:26.658079,2026-07-06 07:27:33.281845,0 days 00:00:06.623766,0.5253260536569009,0.027453739814940308,6,2.1291666251949737,400,7.7462354440797085,0.6408179242992113,COMPLETE
8,0.8551217193659054,2026-07-06 07:27:33.281894,2026-07-06 07:27:39.444584,0 days 00:00:06.162690,0.4662250846985831,0.029262455944124445,4,5.594307126256914,600,0.9846632831701378,0.6635878334582078,COMPLETE
9,0.844718379524581,2026-07-06 07:27:39.444627,2026-07-06 07:27:43.021524,0 days 00:00:03.576897,0.9027669444992823,0.023373576487028164,4,1.6726888552577415,200,4.870172656526868,0.6388405103172244,COMPLETE
10,0.8437030074433176,2026-07-06 07:27:43.021569,2026-07-06 07:27:49.455017,0 days 00:00:06.433448,0.6554372170682234,0.012797663840796239,5,1.332417646777387,400,1.74238089874839,0.9797120575762088,COMPLETE
11,0.8395035591741017,2026-07-06 07:27:49.455059,2026-07-06 07:27:53.487857,0 days 00:00:04.032798,0.7737147343377625,0.09860960465630064,4,5.656760872427107,500,0.9475712793541129,0.7313523130836126,COMPLETE
12,0.848064969770396,2026-07-06 07:27:53.487898,2026-07-06 07:27:57.589885,0 days 00:00:04.101987,0.5883544202306759,0.017105680084789306,4,5.789810703381991,400,1.3029911114591861,0.7240835756594006,COMPLETE
13,0.8556279752403781,2026-07-06 07:27:57.589930,2026-07-06 07:28:04.689459,0 days 00:00:07.099529,0.4090226478966835,0.016948649781202054,5,5.711562838037731,600,0.5300626864468262,0.6039694872191825,COMPLETE
14,0.8486618527897598,2026-07-06 07:28:04.689505,2026-07-06 07:28:15.699756,0 days 00:00:11.010251,0.8411954698994882,0.01600990761577098,6,2.9974450993910735,800,0.5649833573817993,0.6085221661940219,COMPLETE
