model,seed,AUROC,ACC,F1,MCC
GCN,42,0.6999723604201216,0.6571428571428571,0.719626168224299,0.2786294332699222
GCN,7,0.6558872305140961,0.6342857142857142,0.7117117117117117,0.21329088967199855
GAT,42,0.6905749032614705,0.6228571428571429,0.6413043478260869,0.28691099096554484
GAT,7,0.6556108347153123,0.6457142857142857,0.7075471698113207,0.25897359814579624
GraphSAGE,42,0.7043946932006633,0.6628571428571428,0.7510548523206751,0.2507347414477396
GraphSAGE,7,0.6553344389165285,0.6514285714285715,0.7288888888888889,0.24459896264310874
GIN,42,0.6882255389718077,0.68,0.7606837606837606,0.29428746789661464
GIN,7,0.6875345494748479,0.6571428571428571,0.7247706422018348,0.2704066112970766
MPNN,42,0.6916804864566058,0.6571428571428571,0.7619047619047619,0.21958527477387815
MPNN,7,0.6140132669983416,0.6342857142857142,0.7647058823529411,0.1350679400217714
