model_a,model_b,z,p_value,auc_a,auc_b,var
GCN,GAT,0.3138160478305187,0.753660755255297,0.6970702045328911,0.6927860696517414,0.00018636998661217567
GCN,GraphSAGE,-0.899976235487775,0.368132897601112,0.6970702045328911,0.7144831398562741,0.00037435349352544795
GCN,GIN,-0.6480986267071366,0.5169211621723582,0.6970702045328911,0.7164179104477612,0.0008912032314838053
GCN,MPNN,0.748132213248071,0.45438041339681057,0.6970702045328911,0.6826976229961306,0.00036907349037274256
GAT,GraphSAGE,-1.3116269705274528,0.18964602836239508,0.6927860696517414,0.7144831398562741,0.00027364121606883495
GAT,GIN,-0.8661711373197871,0.3863963188220083,0.6927860696517414,0.7164179104477612,0.0007443679890719325
GAT,MPNN,0.6326572801002309,0.5269574728196775,0.6927860696517414,0.6826976229961306,0.0002542796377445408
GraphSAGE,GIN,-0.07460590310661033,0.9405282772160561,0.7144831398562741,0.7164179104477612,0.0006725314080057603
GraphSAGE,MPNN,2.0279121305456904,0.04256921685922621,0.7144831398562741,0.6826976229961306,0.00024567461802919854
GIN,MPNN,1.1934309751673817,0.23270062993515772,0.7164179104477612,0.6826976229961306,0.0007983400649220064
