model_a,model_b,chi2,p_value,n01,n10
GCN,GAT,0.17391304347826086,0.6766573217164242,13,10
GCN,GraphSAGE,0.0,1.0,12,11
GCN,GIN,0.14814814814814814,0.7003113729368903,12,15
GCN,MPNN,0.0,1.0,19,18
GAT,GraphSAGE,0.027777777777777776,0.8676323347781927,17,19
GAT,GIN,0.6944444444444444,0.40465676192728617,15,21
GAT,MPNN,0.019230769230769232,0.8897069355331012,25,27
GraphSAGE,GIN,0.375,0.5402913746074199,10,14
GraphSAGE,MPNN,0.05555555555555555,0.8136637157667919,9,9
GIN,MPNN,0.4090909090909091,0.5224312849615643,13,9
