model_a,model_b,stat,p_value,auc_a_mean,auc_b_mean
GCN,GAT,0.0,0.5,0.6779297954671089,0.6730928689883915
GCN,GraphSAGE,1.0,1.0,0.6779297954671089,0.6798645660585959
GCN,GIN,1.0,1.0,0.6779297954671089,0.6878800442233278
GCN,MPNN,0.0,0.5,0.6779297954671089,0.6528468767274738
GAT,GraphSAGE,1.0,1.0,0.6730928689883915,0.6798645660585959
GAT,GIN,1.0,1.0,0.6730928689883915,0.6878800442233278
GAT,MPNN,1.0,1.0,0.6730928689883915,0.6528468767274738
GraphSAGE,GIN,1.0,1.0,0.6798645660585959,0.6878800442233278
GraphSAGE,MPNN,0.0,0.5,0.6798645660585959,0.6528468767274738
GIN,MPNN,1.0,1.0,0.6878800442233278,0.6528468767274738
