variant,method,threshold,AUROC,ACC,F1,MCC
G-mix,weighted-G-no-exp-baseline,0.575,0.7382531785516859,0.7314285714285714,0.7911111111111111,0.4194144406114916
5-way,weighted-no-gnn5-tx-light,0.575,0.7382531785516859,0.7314285714285714,0.7911111111111111,0.4194144406114916
G-mix,weighted-G-exp-only,0.61,0.7121337755666113,0.7314285714285714,0.7965367965367965,0.4139321353138452
6-way,weighted-no-gnn6-tx-heavy,0.59,0.7396351575456053,0.7257142857142858,0.7837837837837838,0.4106519243982365
6-way,weighted-no-gnn6-tx-light,0.615,0.7406025428413487,0.7257142857142858,0.7837837837837838,0.4106519243982365
6-way,weighted-sp-medium,0.59,0.7419845218352681,0.7257142857142858,0.7857142857142857,0.4081127435193025
G-mix,weighted-G-light-mix,0.6,0.7379767827529021,0.7257142857142858,0.7857142857142857,0.4081127435193025
6-way,weighted-no-gnn6,0.59,0.7422609176340519,0.7257142857142858,0.7857142857142857,0.4081127435193025
4-way,weighted-mf-light,0.57,0.7276119402985075,0.7257142857142858,0.7931034482758621,0.40031646251328307
5-way,weighted-no-gnn5,0.585,0.734521835268104,0.72,0.7782805429864253,0.3997150956663612
6-way,weighted-no-gnn6-balanced,0.615,0.7412935323383084,0.72,0.7782805429864253,0.3997150956663612
G-mix,weighted-G-balanced-mix,0.5199999999999999,0.7368711995577667,0.7257142857142858,0.8032786885245902,0.3974083718828456
4-way,weighted-mf-hy-heavy,0.6499999999999999,0.7381149806522941,0.7142857142857143,0.7727272727272727,0.3889197354109215
pair,hy+mf-0.5_0.5,0.6699999999999999,0.7374239911553343,0.7142857142857143,0.7747747747747747,0.3859817950574567
6-way,weighted-even6,0.49499999999999994,0.7417081260364843,0.72,0.8,0.3835350841694614
5-way,weighted-mf-heavy5,0.49499999999999994,0.7372857932559425,0.72,0.8,0.3835350841694614
6-way,weighted-sp-light,0.48999999999999994,0.740049751243781,0.72,0.8,0.3835350841694614
G-mix,weighted-G-with-sp,0.48499999999999993,0.7426755113322276,0.72,0.8,0.3835350841694614
3-way,weighted-cb+hy-heavy,0.5299999999999999,0.7095080154781647,0.7142857142857143,0.7863247863247863,0.37283394509322
single,hybrid,0.5249999999999999,0.6925096738529574,0.7142857142857143,0.7899159663865546,0.3704160791626997
4-way,weighted-no-gnn4,0.48499999999999993,0.7357656163626313,0.7142857142857143,0.7983870967741935,0.37030644832576404
4-way,weighted-no-gnn4-cbheavy,0.49499999999999994,0.7357656163626314,0.7142857142857143,0.7983870967741935,0.37030644832576404
5-way,weighted-tx-very-light,0.49499999999999994,0.7392205638474294,0.7142857142857143,0.7967479674796748,0.36950478569669026
pair,hy+mf-0.6_0.4,0.625,0.7353510226644554,0.7085714285714285,0.777292576419214,0.36459901396169525
3-way,weighted-hy-slightheavy,0.575,0.7111663902708679,0.7028571428571428,0.7678571428571429,0.35837755541632343
cb+hybrid,mean,0.5249999999999999,0.7158651188501934,0.7085714285714285,0.7848101265822784,0.3575602551503676
full,rank-avg,0.38999999999999996,0.699419568822554,0.7085714285714285,0.7866108786610879,0.35644625333204627
5-way,weighted-tx-light,0.4699999999999999,0.7361802100608071,0.7085714285714285,0.7951807228915663,0.35604110195923727
5-way,weighted-equal5,0.4499999999999999,0.7336926478717524,0.7085714285714285,0.7951807228915663,0.35604110195923727
3-way,weighted-no-gnn,0.48499999999999993,0.7019071310116085,0.7085714285714285,0.7901234567901234,0.35514590829455916
single,ChemBERTaEXP_s13,0.585,0.6948590381426203,0.7028571428571428,0.7719298245614035,0.3530763102812002
full,mean,0.5349999999999999,0.7305140961857379,0.6914285714285714,0.75,0.34701492537313433
3-way,weighted-equal,0.5199999999999999,0.7126865671641791,0.7028571428571428,0.7777777777777778,0.34665178602768487
4-way,weighted-hy-heavy4,0.4699999999999999,0.7359038142620232,0.7028571428571428,0.792,0.3415736510615373
4-way,weighted-equal4,0.4649999999999999,0.7368711995577667,0.7028571428571428,0.792,0.3415736510615373
4-way,weighted-gnn-light4,0.5049999999999999,0.7353510226644555,0.7028571428571428,0.7903225806451613,0.34091704766498915
single,ChemBERTa_s7,0.48499999999999993,0.665975677169707,0.6971428571428572,0.7685589519650655,0.3391483448578673
gnn+hybrid,mean,0.5399999999999999,0.7287175234936429,0.6971428571428572,0.7685589519650655,0.3391483448578673
single,ChemBERTa_s21,0.43999999999999995,0.6699834162520729,0.6971428571428572,0.7763713080168776,0.3308538767247106
super,all-cols-logreg-C0.1,0.38999999999999996,0.7267827529021559,0.6971428571428572,0.7836734693877551,0.3265099017313512
single,specialists_hard,0.4049999999999999,0.6976229961304588,0.6971428571428572,0.7836734693877551,0.3265099017313512
full,median,0.49999999999999994,0.7140685461580983,0.68,0.7477477477477478,0.3119714070351175
single,ChemBERTa_s100,0.35999999999999993,0.6604477611940299,0.6914285714285714,0.782258064516129,0.3115276470042142
single,ChemBERTaEXP_s7,0.5499999999999999,0.6723327805417358,0.68,0.7522123893805309,0.3054609788575326
single,XGBoost,0.48499999999999993,0.6770315091210614,0.6857142857142857,0.7717842323651453,0.30058059671390436
single,molformerEXP,0.595,0.6321171918186843,0.6857142857142857,0.7859922178988327,0.29898667094629366
single,ChemBERTa_s42,0.3999999999999999,0.6668048645660586,0.6857142857142857,0.7755102040816326,0.29799731051229605
full,geom-mean,0.4099999999999999,0.7328634604754007,0.6857142857142857,0.7773279352226721,0.2971389503415503
single,hybrid_no_fp,0.7,0.677584300718629,0.6742857142857143,0.7466666666666667,0.2945462420626467
single,GIN,0.43999999999999995,0.7204256495301271,0.68,0.7627118644067796,0.2919127672285107
single,ChemBERTaEXP_s42,0.5499999999999999,0.6745439469320067,0.6685714285714286,0.7363636363636363,0.29095506654167175
pair,gnn+mf-0.5_0.5,0.705,0.7260917634051962,0.6228571428571429,0.648936170212766,0.27441531046873147
single,specialists_soft,0.57,0.699419568822554,0.6685714285714286,0.75,0.27096753167904275
single,fp_only,0.22999999999999998,0.6634881149806523,0.6742857142857143,0.7782101167315175,0.26593381724092324
single,RandomForest,0.48999999999999994,0.7041182974018795,0.6742857142857143,0.7764705882352941,0.26551033051027584
single,hybrid_deep,0.26999999999999996,0.7194582642343835,0.6742857142857143,0.7764705882352941,0.26551033051027584
single,GCN,0.49999999999999994,0.6955500276395798,0.6685714285714286,0.7542372881355932,0.26538902150421717
single,MPNN,0.5099999999999999,0.6533996683250414,0.6342857142857142,0.6831683168316832,0.25907384395081395
single,molformer,0.8999999999999999,0.7034273079049198,0.5771428571428572,0.5542168674698795,0.25487383155227084
single,ChemBERTa_s13,0.575,0.6755113322277502,0.6342857142857142,0.6862745098039216,0.2540511574195553
super,all-cols-logreg,0.59,0.6941680486456606,0.6057142857142858,0.6349206349206349,0.23603607623599898
single,GAT,0.57,0.691680486456606,0.6057142857142858,0.6349206349206349,0.23603607623599898
single,SVM,0.635,0.650428413488115,0.6228571428571429,0.6796116504854369,0.22545886561728157
pair,cb+mf-0.5_0.5,0.7599999999999999,0.720563847429519,0.5485714285714286,0.5093167701863354,0.21212911651895155
