variant,method,tuned_for,threshold,AUROC,ACC,F1,MCC
single,GCN,MCC,0.43999999999999995,0.7212000000000001,0.6971428571428572,0.7464114832535885,0.3743836252812016
single,GAT,MCC,0.4499999999999999,0.7188,0.68,0.7281553398058253,0.34092062249343164
single,GraphSAGE,MCC,0.42999999999999994,0.7222666666666666,0.6914285714285714,0.7428571428571429,0.36187803325942697
single,GIN,MCC,0.42499999999999993,0.7433333333333333,0.7085714285714285,0.7582938388625592,0.3972975526546135
single,MPNN,MCC,0.33999999999999997,0.7114666666666668,0.7028571428571428,0.7719298245614035,0.38706936721401886
single,molformer,MCC,0.7749999999999999,0.6875999999999999,0.6228571428571429,0.625,0.2695690340429192
single,hybrid,MCC,0.37999999999999995,0.7318666666666666,0.7028571428571428,0.7570093457943925,0.38425100546746915
single,specialists_soft,MCC,0.5299999999999999,0.7129333333333333,0.6628571428571428,0.7330316742081447,0.2964134486792093
single,tox21_mean,MCC,0.32499999999999996,0.6562666666666667,0.6514285714285715,0.7426160337552743,0.27206094847945383
full,mean,MCC,0.4599999999999999,0.7509333333333333,0.7085714285714285,0.7627906976744186,0.39617738670844205
full,mean,ACC,0.4599999999999999,0.7509333333333333,0.7085714285714285,0.7627906976744186,0.39617738670844205
full,mean,F1,0.42999999999999994,0.7509333333333333,0.7142857142857143,0.7747747747747747,0.40925724669020874
full,geom-mean,MCC,0.44499999999999995,0.7581333333333333,0.7028571428571428,0.7523809523809524,0.3857756392293892
full,geom-mean,ACC,0.44499999999999995,0.7581333333333333,0.7028571428571428,0.7523809523809524,0.3857756392293892
full,geom-mean,F1,0.44499999999999995,0.7581333333333333,0.7028571428571428,0.7523809523809524,0.3857756392293892
full,median,MCC,0.5099999999999999,0.7348,0.6914285714285714,0.7244897959183674,0.3745748879660729
full,median,ACC,0.5099999999999999,0.7348,0.6914285714285714,0.7244897959183674,0.3745748879660729
full,median,F1,0.43999999999999995,0.7348,0.7085714285714285,0.7582938388625592,0.3972975526546135
full,rank-avg,MCC,0.3549999999999999,0.7542666666666668,0.72,0.776255707762557,0.4208127057650866
full,rank-avg,ACC,0.3549999999999999,0.7542666666666668,0.72,0.776255707762557,0.4208127057650866
full,rank-avg,F1,0.32499999999999996,0.7542666666666668,0.72,0.7860262008733624,0.4272090628926235
4-way,weighted-equal4,MCC,0.4549999999999999,0.7444000000000001,0.7085714285714285,0.7605633802816901,0.3966177539929056
4-way,weighted-equal4,ACC,0.4549999999999999,0.7444000000000001,0.7085714285714285,0.7605633802816901,0.3966177539929056
4-way,weighted-equal4,F1,0.4549999999999999,0.7444000000000001,0.7085714285714285,0.7605633802816901,0.3966177539929056
4-way,weighted-mf-heavy4,MCC,0.4749999999999999,0.7389333333333333,0.7085714285714285,0.7649769585253456,0.39598696740852785
4-way,weighted-mf-heavy4,ACC,0.4749999999999999,0.7389333333333333,0.7085714285714285,0.7649769585253456,0.39598696740852785
4-way,weighted-mf-heavy4,F1,0.4749999999999999,0.7389333333333333,0.7085714285714285,0.7649769585253456,0.39598696740852785
4-way,weighted-balanced4,MCC,0.4499999999999999,0.7444000000000001,0.7085714285714285,0.7627906976744186,0.39617738670844205
4-way,weighted-balanced4,ACC,0.4499999999999999,0.7444000000000001,0.7085714285714285,0.7627906976744186,0.39617738670844205
4-way,weighted-balanced4,F1,0.4499999999999999,0.7444000000000001,0.7085714285714285,0.7627906976744186,0.39617738670844205
