variant,method,threshold,AUROC,ACC,F1,MCC
single,GIN,0.43999999999999995,0.7204256495301271,0.68,0.7627118644067796,0.2919127672285107
gnn-only,logreg-stack,0.4599999999999999,0.7104754007739081,0.6514285714285715,0.7239819004524887,0.2522446633228337
full,mean,0.4699999999999999,0.7078496406854615,0.6971428571428572,0.7871485943775101,0.32632856364599616
full,logreg-stack,0.3999999999999999,0.7072968490878939,0.6742857142857143,0.748898678414097,0.29132590850123263
full,rank-avg,0.235,0.7066749585406301,0.68,0.7777777777777778,0.28116768356462923
gnn-only,mean,0.5199999999999999,0.7066058595909342,0.6571428571428571,0.7272727272727273,0.2664638993243593
gnn-only+iso,xgb-stack-bagged,0.5149999999999999,0.7063294637921503,0.6628571428571428,0.7064676616915423,0.3205248575471469
gnn-only,rank-avg,0.3499999999999999,0.7060530679933665,0.6628571428571428,0.7377777777777778,0.2695726023528777
single,RandomForest,0.48999999999999994,0.7041182974018795,0.6742857142857143,0.7764705882352941,0.26551033051027584
gnn-only,xgb-stack-bagged,0.4049999999999999,0.7039800995024876,0.6685714285714286,0.7289719626168224,0.3026847617466052
single,GraphSAGE,0.4749999999999999,0.7021835268103925,0.6685714285714286,0.7583333333333333,0.2604269137078251
classical-only,rank-avg,0.25499999999999995,0.7005251520176894,0.6857142857142857,0.7808764940239044,0.2964740866791855
single,GCN,0.49999999999999994,0.6955500276395798,0.6685714285714286,0.7542372881355932,0.26538902150421717
single,GAT,0.5199999999999999,0.693338861249309,0.6114285714285714,0.66,0.21713072947680542
classical-only,logreg-stack,0.3999999999999999,0.6867053620784963,0.68,0.7704918032786885,0.28441655209487166
single,ChemBERTa_s13,0.4099999999999999,0.685461580983969,0.6971428571428572,0.7818930041152263,0.32715017228034843
single,ChemBERTa_s100,0.30999999999999994,0.6849087893864013,0.6971428571428572,0.7854251012145749,0.3262213420136819
classical-only,mean,0.575,0.6846323935876174,0.6285714285714286,0.7058823529411765,0.20308785254165787
full+iso,xgb-stack-bagged,0.5349999999999999,0.6838723051409619,0.6,0.6534653465346535,0.18834385535269782
chemberta-only,logreg-stack,0.32999999999999996,0.6807628524046434,0.6914285714285714,0.7804878048780488,0.31192389745366195
chemberta-only,rank-avg,0.15499999999999997,0.679588170259812,0.6742857142857143,0.7764705882352941,0.26551033051027584
single,ChemBERTa,0.3999999999999999,0.6788280818131565,0.7028571428571428,0.7886178861788617,0.3407143415751761
chemberta-only,mean,0.3999999999999999,0.6788280818131565,0.7028571428571428,0.7886178861788617,0.3407143415751761
single,XGBoost,0.48499999999999993,0.6770315091210614,0.6857142857142857,0.7717842323651453,0.30058059671390436
single,ChemBERTa_s7,0.48999999999999994,0.67191818684356,0.6857142857142857,0.7698744769874477,0.3022515579948542
single,ChemBERTa_s21,0.43999999999999995,0.6695688225538972,0.7028571428571428,0.7851239669421488,0.3414683241854148
single,ChemBERTa_s42,0.44499999999999995,0.6690160309563294,0.6971428571428572,0.7836734693877551,0.3265099017313512
full,xgb-stack-bagged,0.30499999999999994,0.6656992813709232,0.6514285714285715,0.7336244541484717,0.23734566844255553
classical-only+iso,xgb-stack-bagged,0.36999999999999994,0.6654919845218352,0.6457142857142857,0.7350427350427351,0.21574099070000932
chemberta-only+iso,xgb-stack-bagged,0.44499999999999995,0.6639027086788281,0.6228571428571429,0.6796116504854369,0.22545886561728157
single,LogReg,0.38499999999999995,0.6614151464897733,0.64,0.7272727272727273,0.20814201122315512
single,MPNN,0.5549999999999999,0.6578220011055832,0.6057142857142858,0.6567164179104478,0.20273432820915716
chemberta-only,xgb-stack-bagged,0.5549999999999999,0.6525704809286899,0.6228571428571429,0.6796116504854369,0.22545886561728157
classical-only,xgb-stack-bagged,0.5249999999999999,0.6523631840796019,0.6057142857142858,0.6567164179104478,0.20273432820915716
single,SVM,0.635,0.650428413488115,0.6228571428571429,0.6796116504854369,0.22545886561728157
