dropped,AUROC_after,ACC_after,MCC_after,F1_after,dAUROC
ChemBERTa_s13,0.8818267419962336,0.8421052631578947,0.6601305511219249,0.88,-0.0037664783427494575
CBTTA_s100,0.8822975517890772,0.8421052631578947,0.6601305511219249,0.88,-0.003295668549905817
CBTTA_s21,0.882768361581921,0.8421052631578947,0.6601305511219249,0.88,-0.0028248587570620654
ChemBERTaTTA,0.882768361581921,0.8421052631578947,0.6601305511219249,0.88,-0.0028248587570620654
GIN,0.8832391713747646,0.8105263157894737,0.5910223942928939,0.8524590163934426,-0.002354048964218425
specialists_soft,0.8832391713747646,0.8210526315789474,0.6130137950313291,0.864,-0.002354048964218425
CBTTA_s13,0.8837099811676082,0.8315789473684211,0.6372259274832853,0.873015873015873,-0.0018832391713747842
MPNN,0.8841807909604519,0.8315789473684211,0.6363194621167575,0.8709677419354839,-0.0014124293785311437
GAT,0.884180790960452,0.8210526315789474,0.613306602388645,0.8617886178861789,-0.0014124293785310327
CBTTA_s7,0.8846516007532957,0.8105263157894737,0.5910223942928939,0.8524590163934426,-0.0009416195856872811
CBTTA_s42,0.8846516007532957,0.8105263157894737,0.5910223942928939,0.8524590163934426,-0.0009416195856872811
ChemBERTa_s42,0.8851224105461394,0.8421052631578947,0.6601305511219249,0.88,-0.00047080979284364055
AttentiveFP_s13,0.8851224105461394,0.8105263157894737,0.5910223942928939,0.8524590163934426,-0.00047080979284364055
ChemBERTa_s7,0.8851224105461394,0.8421052631578947,0.6601305511219249,0.88,-0.00047080979284364055
GraphSAGE,0.885593220338983,0.8210526315789474,0.613306602388645,0.8617886178861789,0.0
molformer,0.885593220338983,0.8210526315789474,0.6130137950313291,0.864,0.0
AttentiveFP_s7,0.885593220338983,0.8105263157894737,0.5910223942928939,0.8524590163934426,0.0
GCN,0.8860640301318268,0.8105263157894737,0.5910223942928939,0.8524590163934426,0.0004708097928437516
AttentiveFP_s42,0.8860640301318268,0.8105263157894737,0.5910223942928939,0.8524590163934426,0.0004708097928437516
hybrid,0.8870056497175142,0.7789473684210526,0.5279441279547973,0.8235294117647058,0.0014124293785311437
