alert,n_present,dili_rate_present,dili_rate_absent,enrichment,fisher_p
furan,6,1.0,0.48257372654155495,0.517426273458445,0.013401100783989664
sulfonamide,24,0.9583333333333334,0.4591549295774648,0.4991784037558686,5.439743071955189e-07
nitro_aromatic,11,0.9090909090909091,0.4782608695652174,0.43083003952569165,0.004967022965781959
n_oxide,11,0.9090909090909091,0.4782608695652174,0.43083003952569165,0.004967022965781959
aromatic_amine,52,0.7884615384615384,0.4434250764525994,0.34503646200893906,4.30639395244927e-06
thiophene,5,0.8,0.48663101604278075,0.3133689839572193,0.2078866765304605
hydrazine,11,0.7272727272727273,0.483695652173913,0.24357707509881427,0.13384925222675648
aromatic_halide,66,0.6666666666666666,0.4536741214057508,0.21299254526091582,0.001800994606491247
PAINS_C,3,0.6666666666666666,0.48936170212765956,0.17730496453900707,0.6171572945296901
carboxylic_acid,73,0.6164383561643836,0.46078431372549017,0.15565404243889341,0.019063385333158434
PAINS_A,11,0.6363636363636364,0.48641304347826086,0.1499505928853755,0.3728898130686778
ZINC,37,0.5945945945945946,0.47953216374269003,0.1150624308519046,0.22593889812425041
michael_acceptor,24,0.5833333333333334,0.48450704225352115,0.09882629107981222,0.40235268772764254
BRENK,171,0.49707602339181284,0.4855769230769231,0.011499100314889765,0.8370501280874455
PAINS_B,13,0.46153846153846156,0.4918032786885246,-0.030264817150063017,1.0
phenol,52,0.36538461538461536,0.5107033639143731,-0.14531874852975774,0.05387993732820296
NIH,60,0.36666666666666664,0.5141065830721003,-0.1474399164054337,0.04817053018950877
terminal_alkyne,4,0.0,0.496,-0.496,0.12327436582678297
alkyl_halide,5,0.0,0.49732620320855614,-0.49732620320855614,0.061065254517537526
