base,model,test_base,test_alerts,delta,delta_pos_seeds
desc_morgan,xgb,0.9193043478260868,0.9160869565217391,-0.0032173913043478165,1
desc_morgan,lgbm,0.9073043478260869,0.9096521739130434,0.002347826086956539,3
desc_morgan,cat,0.909391304347826,0.9139130434782607,0.004521739130434766,4
desc_morgan,ENS4,0.9201739130434783,0.9240869565217393,0.003913043478260913,4
rich,xgb,0.9060869565217391,0.904695652173913,-0.0013913043478260612,2
rich,lgbm,0.89,0.8895652173913042,-0.00043478260869567187,2
rich,cat,0.9077391304347827,0.9202608695652174,0.01252173913043475,5
rich,ENS4,0.9070434782608695,0.910608695652174,0.003565217391304354,3
rich_mf,xgb,0.910695652173913,0.9072173913043479,-0.003478260869565197,0
rich_mf,lgbm,0.89,0.8895652173913042,-0.00043478260869567187,2
rich_mf,cat,0.9137391304347826,0.9180869565217391,0.004347826086956541,4
rich_mf,ENS4,0.9132173913043479,0.9120869565217392,-0.0011304347826087246,2
