method,AUROC_mean,AUROC_std,PR_AUC_mean,PR_AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,MCC_mean,MCC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
mean,0.86799042114,0.033509668766281246,0.8486789612399999,0.08105367686059849,0.80727883538,0.020898509024342763,0.7929642449000001,0.0754214029137664,0.5884676035199999,0.04800238782267496,0.8118637993,0.08888819516060241,0.77302430268,0.06136539051620385
geom-mean,0.86872679616,0.031566326257270134,0.8484028989799999,0.07985500146175409,0.80302351622,0.03924143633058596,0.79446118264,0.059997828783954536,0.60036891656,0.07323270557412832,0.80772238516,0.08220838147607372,0.7993562802199999,0.08759119390636887
rank-avg,0.8686995358199999,0.03489866020645002,0.8537762023800001,0.08040524953064374,0.82219484882,0.034164659910790596,0.8004637947000001,0.09687763547055976,0.62749616954,0.09022790512879753,0.8065102639599999,0.13453672520555834,0.8207135793000001,0.08107566056586647
meta-XGB,0.83071935616,0.02420767799724373,0.7905245082200001,0.11280333861104108,0.75238521836,0.07369957325940761,0.7457686211800001,0.09846874792196643,0.50228567234,0.1183172776103098,0.77947214078,0.058341109433599776,0.7309548518600001,0.10365073604059764
GCN,0.8607995992000002,0.042710195020949825,0.84392680612,0.08462952242046763,0.79032474804,0.03725289626269603,0.78398247958,0.07173444177452534,0.57178014096,0.06893097800687883,0.82197784296,0.06990106591083269,0.75425886592,0.09393036555708018
GAT,0.85850606854,0.048750160869882264,0.83874380206,0.09414959990931072,0.81166853304,0.047017669507569096,0.7854754608200001,0.10995872835178878,0.5945326501,0.10681335451154272,0.7917627892000001,0.1343057459898935,0.7977236246999999,0.048060123498623535
GraphSAGE,0.84244455942,0.033181546395342945,0.82855398408,0.08327226105334226,0.7627323627999999,0.02720131233865113,0.7410111344600001,0.08654563425464798,0.50609036022,0.044833922785357534,0.7462333007599999,0.13464107637705444,0.75021858798,0.11987151842137853
GIN,0.8592744086999999,0.024369556004765557,0.8411455520400001,0.095178243366556,0.79247480404,0.05226084671958891,0.7968063317399999,0.0748428367452514,0.58740066152,0.07187144131220209,0.87923753666,0.06630630035277764,0.70166156404,0.101227706007021
MPNN,0.8397303245,0.04394817190403891,0.81918158886,0.09830093456307618,0.7947368421200001,0.06043198982785391,0.78579147396,0.09398751306767573,0.57298890632,0.12053538367690464,0.81216031282,0.06154386997770923,0.76520267212,0.0811890822685567
molformer,0.75712298518,0.05746038499871334,0.76769324858,0.0830159290382893,0.6398208286599999,0.05371511468548814,0.54658602938,0.09207951640260321,0.31925222018000005,0.091644524513145,0.46795373086,0.1343473201832205,0.8133203951400001,0.16759699176721038
AttentiveFP,0.87077443376,0.03693144213832836,0.8539822344399999,0.08354855615936405,0.80530795074,0.046667253662886064,0.7854270927,0.09321997505778509,0.5990177315799999,0.09193150043036866,0.7940860215199999,0.09561740583833798,0.8079269187,0.07147445428614475
hybrid,0.8494175655199999,0.03095149808845975,0.8220483699399999,0.09105430072277268,0.7945128779400001,0.010320836426996997,0.7838994977,0.05179330331329229,0.59304181272,0.025103980276526935,0.79464320626,0.09014716389859115,0.8071087634199999,0.09531047955171985
specialists,0.7757388709399999,0.05701268169544639,0.78737416832,0.09162992157366057,0.70335946248,0.04498692551755244,0.6579665024600001,0.06572182424829665,0.39964214108,0.1095924021394507,0.59777451938,0.09429841338111054,0.78112371248,0.17497356932090802
chemberta,0.84584126732,0.03530173236248805,0.8230903476600002,0.11391887005192103,0.7586338186200001,0.05918460619677248,0.72565792758,0.14005515995537154,0.48872412476000004,0.15973631122451634,0.7402346041000001,0.21232216654245922,0.72623773266,0.24225250076519309
