comparison,auc_diff,pvalue,significant_0.05
ensemble vs GCN,0.03248587570621475,0.1791130714584801,False
ensemble vs GAT,0.03154425612052725,0.27773405358873227,False
ensemble vs GraphSAGE,0.05037664783427487,0.035850974081425235,True
ensemble vs GIN,0.07721280602636549,0.011064825455863625,True
ensemble vs MPNN,0.05649717514124286,0.03889457234308047,True
ensemble vs molformer,0.07721280602636549,0.031566864564687824,True
ensemble vs ChemBERTa_s42,0.08898305084745761,0.008521342467226578,True
ensemble vs ChemBERTa_s7,0.0371939736346516,0.1311282891993124,False
ensemble vs ChemBERTa_s13,0.029661016949152685,0.18891377366317696,False
ensemble vs hybrid,0.057909604519774005,0.014728771140216201,True
ensemble vs specialists_soft,0.06261770244821085,0.04185554770161848,True
ensemble vs AttentiveFP_s42,0.09651600753295675,0.010576979437095346,True
ensemble vs AttentiveFP_s7,0.06450094161958564,0.007387992867207371,True
ensemble vs AttentiveFP_s13,0.03766478342749546,0.1781543063201716,False
ensemble vs ChemBERTaTTA,-0.008003766478342778,0.6654575202772506,False
ensemble vs CBTTA_s42,0.05555555555555558,0.06252023686112751,False
ensemble vs CBTTA_s7,0.0028248587570620654,0.898189812302669,False
ensemble vs CBTTA_s13,-0.003295668549905928,0.8490502983491985,False
ensemble vs CBTTA_s21,-0.008474576271186418,0.6925440485035386,False
ensemble vs CBTTA_s100,-0.006591337099811634,0.75240766220996,False
CBTTA_s21 vs ChemBERTaTTA,0.00047080979284364055,0.9415856974286301,False
CBTTA_s21 vs CBTTA_s100,0.0018832391713747842,0.841951004879653,False
ChemBERTaTTA vs CBTTA_s100,0.0014124293785311437,0.8784257025486872,False
