feature_set,model,val_AUROC,test_AUROC,test_std
rich_mf,lgbm,0.8686132687295478,0.8922608695652174,0.019547624940942507
rich,lgbm,0.8686132687295478,0.8922608695652174,0.019547624940942507
rich,ENS4,0.8649661499855299,0.9089565217391306,0.017414332579977022
rich_mf,ENS4,0.8637270933201167,0.9090434782608696,0.015500228670793249
rich_mf,xgb,0.8636414812577602,0.9102608695652175,0.013062594687204833
rich,xgb,0.8623872151391531,0.9082608695652175,0.016628942814575897
desc_morgan,ENS4,0.8426927637392755,0.9201739130434783,0.013739680781492554
rich,cat,0.8417114022927976,0.9095652173913044,0.02032068051790527
rich_mf,cat,0.8413114634432464,0.911304347826087,0.01657200591244747
desc_morgan,xgb,0.8410401721448235,0.9193043478260868,0.020979060583991068
desc_morgan,lgbm,0.8405415027120453,0.9073043478260869,0.014402793259857603
desc_morgan,cat,0.8393717494105092,0.909391304347826,0.01580265824351831
