variant,method,tuned_for,threshold,AUROC,ACC,F1,MCC
single,GCN,MCC,0.4749999999999999,0.8531073446327684,0.7263157894736842,0.7936507936507936,0.39926813223598934
single,GAT,MCC,0.3999999999999999,0.8540489642184558,0.7789473684210526,0.8444444444444444,0.5316047198383641
single,GraphSAGE,MCC,0.37999999999999995,0.835216572504708,0.7368421052631579,0.8062015503875969,0.4201348797603971
single,GIN,MCC,0.36499999999999994,0.8083804143126178,0.7684210526315789,0.8405797101449275,0.5181516638491326
single,MPNN,MCC,0.7599999999999999,0.8290960451977402,0.7684210526315789,0.8103448275862069,0.5137775366709761
single,molformer,MCC,0.18,0.8083804143126178,0.7368421052631579,0.8120300751879699,0.42052381446856707
single,ChemBERTa_s42,MCC,0.5049999999999999,0.7966101694915254,0.7157894736842105,0.7428571428571429,0.45291785560348197
single,ChemBERTa_s7,MCC,0.49999999999999994,0.8483992467043315,0.7473684210526316,0.7818181818181819,0.4928600183082315
single,ChemBERTa_s13,MCC,0.5099999999999999,0.8559322033898306,0.7684210526315789,0.8135593220338984,0.5080037664783428
single,hybrid,MCC,0.26499999999999996,0.827683615819209,0.7578947368421053,0.8188976377952756,0.46993130995773785
single,specialists_soft,MCC,0.20499999999999996,0.8229755178907721,0.7684210526315789,0.8333333333333334,0.4970415037535129
single,AttentiveFP_s42,MCC,0.5099999999999999,0.7890772128060264,0.7684210526315789,0.835820895522388,0.5014182647335573
single,AttentiveFP_s7,MCC,0.6799999999999999,0.8210922787193974,0.7684210526315789,0.828125,0.4938426089718868
single,AttentiveFP_s13,MCC,0.4649999999999999,0.8479284369114877,0.7789473684210526,0.8421052631578947,0.5251043442447814
single,ChemBERTaTTA,MCC,0.5499999999999999,0.8935969868173258,0.8,0.8347826086956521,0.5831577695107737
single,CBTTA_s42,MCC,0.5249999999999999,0.8300376647834276,0.6736842105263158,0.6593406593406593,0.46489251292703515
single,CBTTA_s7,MCC,0.49499999999999994,0.882768361581921,0.7789473684210526,0.8235294117647058,0.5279441279547973
single,CBTTA_s13,MCC,0.565,0.8888888888888888,0.8,0.8376068376068376,0.5775252297787583
single,CBTTA_s21,MCC,0.62,0.8940677966101694,0.8105263157894737,0.8363636363636363,0.6234037963917315
single,CBTTA_s100,MCC,0.585,0.8921845574387947,0.8315789473684211,0.8620689655172413,0.6466510375341596
full,mean,MCC,0.57,0.8860640301318268,0.7894736842105263,0.8305084745762712,0.5527306967984934
full,mean,ACC,0.49499999999999994,0.8860640301318268,0.8315789473684211,0.873015873015873,0.6372259274832853
full,mean,F1,0.49499999999999994,0.8860640301318268,0.8315789473684211,0.873015873015873,0.6372259274832853
full,geom-mean,MCC,0.49499999999999994,0.885593220338983,0.8105263157894737,0.8524590163934426,0.5910223942928939
full,geom-mean,ACC,0.4499999999999999,0.885593220338983,0.8421052631578947,0.88,0.6601305511219249
full,geom-mean,F1,0.4499999999999999,0.885593220338983,0.8421052631578947,0.88,0.6601305511219249
full,median,MCC,0.5349999999999999,0.887005649717514,0.7894736842105263,0.8305084745762712,0.5527306967984934
full,median,ACC,0.5349999999999999,0.887005649717514,0.7894736842105263,0.8305084745762712,0.5527306967984934
full,median,F1,0.5349999999999999,0.887005649717514,0.7894736842105263,0.8305084745762712,0.5527306967984934
full,rank-avg,MCC,0.39499999999999996,0.8844161958568738,0.8,0.8403361344537815,0.5729259146415289
full,rank-avg,ACC,0.33499999999999996,0.8844161958568738,0.8210526315789474,0.8661417322834646,0.6142528868305345
full,rank-avg,F1,0.33499999999999996,0.8844161958568738,0.8210526315789474,0.8661417322834646,0.6142528868305345
blend,eq6,MCC,0.5049999999999999,0.8752354048964218,0.8315789473684211,0.8688524590163934,0.6369317380850648
blend,eq6,ACC,0.41999999999999993,0.8752354048964218,0.8,0.8549618320610687,0.5715936072062779
blend,eq6,F1,0.41999999999999993,0.8752354048964218,0.8,0.8549618320610687,0.5715936072062779
blend,afp-heavy,MCC,0.565,0.8728813559322033,0.8421052631578947,0.8739495798319328,0.6628894880149921
blend,afp-heavy,ACC,0.3999999999999999,0.8728813559322033,0.7789473684210526,0.8421052631578947,0.5251043442447814
blend,afp-heavy,F1,0.3999999999999999,0.8728813559322033,0.7789473684210526,0.8421052631578947,0.5251043442447814
blend,transformer-heavy,MCC,0.57,0.8761770244821092,0.8210526315789474,0.8547008547008547,0.6220223074989384
blend,transformer-heavy,ACC,0.4499999999999999,0.8761770244821092,0.8,0.8527131782945736,0.5679601152316479
blend,transformer-heavy,F1,0.4499999999999999,0.8761770244821092,0.8,0.8527131782945736,0.5679601152316479
blend,no-gnn5b,MCC,0.43499999999999994,0.8700564971751412,0.7894736842105263,0.8461538461538461,0.5445624656569027
blend,no-gnn5b,ACC,0.43499999999999994,0.8700564971751412,0.7894736842105263,0.8461538461538461,0.5445624656569027
blend,no-gnn5b,F1,0.43499999999999994,0.8700564971751412,0.7894736842105263,0.8461538461538461,0.5445624656569027
blend,afp-cbtta-hy,MCC,0.6399999999999999,0.8752354048964219,0.7894736842105263,0.8214285714285714,0.5716514276440423
blend,afp-cbtta-hy,ACC,0.5349999999999999,0.8752354048964219,0.7894736842105263,0.84375,0.5425096710593652
blend,afp-cbtta-hy,F1,0.5349999999999999,0.8752354048964219,0.7894736842105263,0.84375,0.5425096710593652
blend,afp+gnn+cbtta,MCC,0.58,0.8728813559322034,0.8210526315789474,0.859504132231405,0.6149756982751673
blend,afp+gnn+cbtta,ACC,0.4099999999999999,0.8728813559322034,0.7684210526315789,0.835820895522388,0.5014182647335573
blend,afp+gnn+cbtta,F1,0.4099999999999999,0.8728813559322034,0.7684210526315789,0.835820895522388,0.5014182647335573
blend,balanced7,MCC,0.4649999999999999,0.8714689265536724,0.8421052631578947,0.8760330578512396,0.6605472203782413
blend,balanced7,ACC,0.37999999999999995,0.8714689265536724,0.7894736842105263,0.8484848484848485,0.5484782606778961
blend,balanced7,F1,0.37999999999999995,0.8714689265536724,0.7894736842105263,0.8484848484848485,0.5484782606778961
